,Entity,internet_2020
6302,United Arab Emirates,100.0
419,Bahrain,99.67105
4972,Qatar,99.65285
3206,Kuwait,99.10588
2777,Iceland,99.0
3590,Luxembourg,98.822426
5263,Saudi Arabia,97.862335
4595,Norway,97.0
1555,Denmark,96.54915
5617,South Korea,96.50506
